Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Student ID_category,Well versed with the subject_category,Explains concepts in an understandable way_category,Use of presentations_category,Degree of difficulty of assignments_category,Solves doubts willingly_category,Structuring of the course_category,Provides support for students going above and beyond_category,Course recommendation based on relevance_category
244,942,10,6,8,3,7,8,4,5,High,High,Medium,High,Low,Medium,High,Low,Medium
245,752,10,7,4,4,4,9,10,7,High,High,Medium,Low,Low,Low,High,High,Medium
246,940,7,3,6,9,10,8,3,5,High,Medium,Low,Medium,High,High,High,Low,Medium
247,648,5,7,7,9,6,3,10,3,High,Medium,Medium,Medium,High,Medium,Low,High,Low
248,125,6,2,4,5,9,7,7,7,High,Medium,Low,Low,Medium,High,Medium,Medium,Medium
249,516,10,2,8,9,2,3,3,1,High,High,Low,High,High,Low,Low,Low,Low
250,963,9,6,4,5,3,3,6,6,High,High,Medium,Low,Medium,Low,Low,Medium,Medium
251,215,5,6,6,2,1,9,5,8,High,Medium,Medium,Medium,Low,Low,High,Medium,High
252,823,7,5,8,3,4,3,1,10,High,Medium,Medium,High,Low,Low,Low,Low,High
253,840,5,7,5,6,9,9,10,6,High,Medium,Medium,Medium,Medium,High,High,High,Medium
254,429,8,3,5,1,8,1,8,9,High,High,Low,Medium,Low,High,Low,High,High
255,109,6,3,5,6,1,6,6,10,High,Medium,Low,Medium,Medium,Low,Medium,Medium,High
256,795,6,9,8,4,2,6,10,6,High,Medium,High,High,Low,Low,Medium,High,Medium
257,760,9,4,4,3,8,5,10,1,High,High,Low,Low,Low,High,Medium,High,Low
258,536,10,10,4,7,8,7,6,2,High,High,High,Low,Medium,High,Medium,Medium,Low
259,888,6,6,5,2,3,6,6,3,High,Medium,Medium,Medium,Low,Low,Medium,Medium,Low
260,719,10,10,8,7,6,10,6,4,High,High,High,High,Medium,Medium,High,Medium,Low
261,654,6,4,4,9,5,8,8,2,High,Medium,Low,Low,High,Medium,High,High,Low
262,947,7,3,8,1,5,9,7,2,High,Medium,Low,High,Low,Medium,High,Medium,Low
263,403,5,7,6,6,5,6,4,6,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium
264,124,9,9,7,9,1,9,4,3,High,High,High,Medium,High,Low,High,Low,Low
265,548,9,8,6,7,1,2,7,6,High,High,High,Medium,Medium,Low,Low,Medium,Medium
266,880,7,3,6,3,5,3,3,10,High,Medium,Low,Medium,Low,Medium,Low,Low,High
267,939,10,10,7,4,1,2,3,9,High,High,High,Medium,Low,Low,Low,Low,High
268,166,6,10,4,4,4,8,4,6,High,Medium,High,Low,Low,Low,High,Low,Medium
269,885,5,6,7,7,2,2,5,7,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
270,112,7,9,6,9,1,7,1,2,High,Medium,High,Medium,High,Low,Medium,Low,Low
271,811,8,8,8,6,1,4,9,1,High,High,High,High,Medium,Low,Low,High,Low
272,213,10,8,4,10,1,5,6,2,High,High,High,Low,High,Low,Medium,Medium,Low
273,375,10,4,4,1,3,4,7,9,High,High,Low,Low,Low,Low,Low,Medium,High
274,897,6,7,4,1,9,8,8,7,High,Medium,Medium,Low,Low,High,High,High,Medium
275,460,7,8,5,6,7,7,6,7,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium
276,416,6,2,5,8,9,6,3,7,High,Medium,Low,Medium,High,High,Medium,Low,Medium
277,571,8,9,7,3,1,8,9,7,High,High,High,Medium,Low,Low,High,High,Medium
278,744,8,5,7,3,10,4,6,7,High,High,Medium,Medium,Low,High,Low,Medium,Medium
279,378,9,8,7,2,4,7,2,6,High,High,High,Medium,Low,Low,Medium,Low,Medium
280,121,5,9,5,2,4,5,6,6,High,Medium,High,Medium,Low,Low,Medium,Medium,Medium
281,462,10,4,8,5,4,6,4,7,High,High,Low,High,Medium,Low,Medium,Low,Medium
282,777,8,6,4,6,4,7,10,1,High,High,Medium,Low,Medium,Low,Medium,High,Low
283,845,5,10,6,8,4,4,4,5,High,Medium,High,Medium,High,Low,Low,Low,Medium
284,533,6,10,5,7,2,5,10,10,High,Medium,High,Medium,Medium,Low,Medium,High,High
285,450,5,2,6,2,4,5,1,4,High,Medium,Low,Medium,Low,Low,Medium,Low,Low
286,717,6,2,4,6,6,2,6,9,High,Medium,Low,Low,Medium,Medium,Low,Medium,High
287,469,10,8,6,1,3,5,8,10,High,High,High,Medium,Low,Low,Medium,High,High
288,670,7,7,8,1,6,1,2,1,High,Medium,Medium,High,Low,Medium,Low,Low,Low
289,137,8,2,5,2,4,9,7,8,High,High,Low,Medium,Low,Low,High,Medium,High
290,801,10,7,4,3,6,1,10,4,High,High,Medium,Low,Low,Medium,Low,High,Low
291,315,5,10,5,10,8,4,8,4,High,Medium,High,Medium,High,High,Low,High,Low
292,153,7,7,5,3,8,9,8,9,High,Medium,Medium,Medium,Low,High,High,High,High
293,190,8,6,7,5,6,4,3,8,High,High,Medium,Medium,Medium,Medium,Low,Low,High
294,22,7,9,4,1,2,8,10,4,High,Medium,High,Low,Low,Low,High,High,Low
295,949,9,8,7,1,7,6,9,4,High,High,High,Medium,Low,Medium,Medium,High,Low
296,523,10,2,6,9,7,5,10,9,High,High,Low,Medium,High,Medium,Medium,High,High
297,527,5,6,5,2,8,6,9,8,High,Medium,Medium,Medium,Low,High,Medium,High,High
298,461,7,10,7,6,6,8,4,9,High,Medium,High,Medium,Medium,Medium,High,Low,High
299,244,5,8,4,9,3,10,1,3,High,Medium,High,Low,High,Low,High,Low,Low
300,363,9,3,8,10,2,7,5,1,High,High,Low,High,High,Low,Medium,Medium,Low
301,610,8,10,6,8,2,1,5,1,High,High,High,Medium,High,Low,Low,Medium,Low
302,381,9,2,8,8,1,9,1,2,High,High,Low,High,High,Low,High,Low,Low
303,954,8,8,6,3,9,5,7,2,High,High,High,Medium,Low,High,Medium,Medium,Low
304,604,10,9,8,9,4,8,7,9,High,High,High,High,High,Low,High,Medium,High
305,414,10,6,4,8,2,9,9,3,High,High,Medium,Low,High,Low,High,High,Low
306,151,8,7,5,10,8,3,8,6,High,High,Medium,Medium,High,High,Low,High,Medium
307,721,6,9,4,1,4,10,10,9,High,Medium,High,Low,Low,Low,High,High,High
308,664,10,8,7,4,8,2,1,10,High,High,High,Medium,Low,High,Low,Low,High
309,956,7,2,6,5,2,3,8,7,High,Medium,Low,Medium,Medium,Low,Low,High,Medium
310,747,5,3,5,6,5,10,3,6,High,Medium,Low,Medium,Medium,Medium,High,Low,Medium
311,438,9,6,5,9,2,3,9,3,High,High,Medium,Medium,High,Low,Low,High,Low
312,975,5,10,4,8,7,6,8,3,High,Medium,High,Low,High,Medium,Medium,High,Low
313,277,5,6,8,7,2,7,1,10,High,Medium,Medium,High,Medium,Low,Medium,Low,High
314,312,7,2,7,6,6,3,7,2,High,Medium,Low,Medium,Medium,Medium,Low,Medium,Low
315,565,10,9,7,10,4,8,5,4,High,High,High,Medium,High,Low,High,Medium,Low
316,739,8,7,5,10,1,1,8,1,High,High,Medium,Medium,High,Low,Low,High,Low
317,584,8,8,5,8,6,6,9,4,High,High,High,Medium,High,Medium,Medium,High,Low
318,894,6,3,5,4,7,1,5,5,High,Medium,Low,Medium,Low,Medium,Low,Medium,Medium
319,270,9,10,5,9,6,4,7,7,High,High,High,Medium,High,Medium,Low,Medium,Medium
320,966,7,4,5,3,1,8,10,2,High,Medium,Low,Medium,Low,Low,High,High,Low
321,489,7,2,5,8,1,1,8,8,High,Medium,Low,Medium,High,Low,Low,High,High
322,665,6,3,4,2,8,5,8,5,High,Medium,Low,Low,Low,High,Medium,High,Medium
323,71,9,10,8,4,9,3,8,2,High,High,High,High,Low,High,Low,High,Low
324,603,7,2,7,1,7,7,1,7,High,Medium,Low,Medium,Low,Medium,Medium,Low,Medium
325,196,8,10,8,10,6,7,7,7,High,High,High,High,High,Medium,Medium,Medium,Medium
326,804,9,3,7,6,10,7,9,7,High,High,Low,Medium,Medium,High,Medium,High,Medium
327,837,5,10,4,1,4,8,9,1,High,Medium,High,Low,Low,Low,High,High,Low
328,530,6,5,4,9,1,2,3,6,High,Medium,Medium,Low,High,Low,Low,Low,Medium
329,720,6,6,6,9,10,4,6,7,High,Medium,Medium,Medium,High,High,Low,Medium,Medium
330,272,5,4,6,4,4,7,7,9,High,Medium,Low,Medium,Low,Low,Medium,Medium,High
331,984,5,10,6,4,2,10,4,6,High,Medium,High,Medium,Low,Low,High,Low,Medium
332,185,10,3,8,4,1,10,7,9,High,High,Low,High,Low,Low,High,Medium,High
333,487,6,6,4,2,10,10,1,9,High,Medium,Medium,Low,Low,High,High,Low,High
334,75,8,9,8,6,2,7,9,10,High,High,High,High,Medium,Low,Medium,High,High
335,718,6,3,6,7,6,6,2,6,High,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium
336,496,10,7,4,6,10,5,3,6,High,High,Medium,Low,Medium,High,Medium,Low,Medium
337,630,5,5,4,8,3,6,6,8,High,Medium,Medium,Low,High,Low,Medium,Medium,High
338,637,8,10,5,6,10,8,2,2,High,High,High,Medium,Medium,High,High,Low,Low
339,360,9,9,8,2,3,1,8,6,High,High,High,High,Low,Low,Low,High,Medium
340,183,6,7,5,5,4,7,1,9,High,Medium,Medium,Medium,Medium,Low,Medium,Low,High
341,689,10,8,7,8,1,9,5,10,High,High,High,Medium,High,Low,High,Medium,High
342,236,6,9,6,4,1,2,8,4,High,Medium,High,Medium,Low,Low,Low,High,Low
343,768,6,6,6,3,5,9,8,3,High,Medium,Medium,Medium,Low,Medium,High,High,Low
344,316,7,2,7,8,6,4,2,9,High,Medium,Low,Medium,High,Medium,Low,Low,High
345,396,6,10,4,6,1,2,4,10,High,Medium,High,Low,Medium,Low,Low,Low,High
346,212,6,4,4,6,5,10,10,2,High,Medium,Low,Low,Medium,Medium,High,High,Low
347,830,9,7,7,10,7,8,6,4,High,High,Medium,Medium,High,Medium,High,Medium,Low
348,209,9,8,5,3,3,10,7,2,High,High,High,Medium,Low,Low,High,Medium,Low
349,62,7,4,4,5,3,10,2,1,High,Medium,Low,Low,Medium,Low,High,Low,Low
350,447,8,7,7,1,4,7,10,9,High,High,Medium,Medium,Low,Low,Medium,High,High
351,100,6,6,6,10,7,5,7,8,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High
352,305,10,8,8,4,6,3,10,4,High,High,High,High,Low,Medium,Low,High,Low
353,494,10,6,6,6,4,10,2,9,High,High,Medium,Medium,Medium,Low,High,Low,High
354,328,10,6,5,4,6,10,8,2,High,High,Medium,Medium,Low,Medium,High,High,Low
355,854,8,2,8,4,6,2,4,7,High,High,Low,High,Low,Medium,Low,Low,Medium
356,866,5,10,4,8,3,7,4,5,High,Medium,High,Low,High,Low,Medium,Low,Medium
357,943,8,9,7,10,6,7,7,6,High,High,High,Medium,High,Medium,Medium,Medium,Medium
358,734,9,8,5,3,10,1,8,3,High,High,High,Medium,Low,High,Low,High,Low
359,189,9,3,6,2,3,8,10,7,High,High,Low,Medium,Low,Low,High,High,Medium
360,404,10,5,7,8,1,5,10,4,High,High,Medium,Medium,High,Low,Medium,High,Low
361,518,7,4,8,5,7,9,2,6,High,Medium,Low,High,Medium,Medium,High,Low,Medium
362,856,6,9,4,6,8,8,3,8,High,Medium,High,Low,Medium,High,High,Low,High
363,70,9,2,5,8,10,9,7,6,High,High,Low,Medium,High,High,High,Medium,Medium
364,457,7,4,8,2,3,6,8,4,High,Medium,Low,High,Low,Low,Medium,High,Low
365,148,5,4,4,4,8,10,5,5,High,Medium,Low,Low,Low,High,High,Medium,Medium
366,958,10,10,5,8,5,10,7,8,High,High,High,Medium,High,Medium,High,Medium,High
367,356,7,3,7,6,4,2,1,10,High,Medium,Low,Medium,Medium,Low,Low,Low,High
368,793,10,9,6,4,7,6,8,3,High,High,High,Medium,Low,Medium,Medium,High,Low
369,771,8,7,6,4,8,7,3,2,High,High,Medium,Medium,Low,High,Medium,Low,Low
370,452,5,6,7,9,7,8,6,1,High,Medium,Medium,Medium,High,Medium,High,Medium,Low
371,72,8,7,7,3,4,1,4,7,High,High,Medium,Medium,Low,Low,Low,Low,Medium
372,710,7,2,6,5,7,7,6,10,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,High
373,980,6,3,7,1,5,4,9,4,High,Medium,Low,Medium,Low,Medium,Low,High,Low
374,145,6,8,4,6,1,3,2,7,High,Medium,High,Low,Medium,Low,Low,Low,Medium
375,960,6,9,6,1,3,3,5,8,High,Medium,High,Medium,Low,Low,Low,Medium,High
376,660,5,7,7,3,10,3,3,4,High,Medium,Medium,Medium,Low,High,Low,Low,Low
377,987,9,10,7,8,7,3,8,7,High,High,High,Medium,High,Medium,Low,High,Medium
378,534,9,5,7,5,2,6,10,8,High,High,Medium,Medium,Medium,Low,Medium,High,High
379,858,9,5,5,3,2,2,7,7,High,High,Medium,Medium,Low,Low,Low,Medium,Medium
380,324,10,5,5,2,2,5,7,6,High,High,Medium,Medium,Low,Low,Medium,Medium,Medium
381,884,7,4,7,10,5,1,7,4,High,Medium,Low,Medium,High,Medium,Low,Medium,Low
382,611,8,9,5,3,9,5,8,3,High,High,High,Medium,Low,High,Medium,High,Low
383,136,8,6,7,10,9,9,2,3,High,High,Medium,Medium,High,High,High,Low,Low
384,705,9,3,6,3,3,5,1,2,High,High,Low,Medium,Low,Low,Medium,Low,Low
385,991,7,4,5,8,9,8,5,1,High,Medium,Low,Medium,High,High,High,Medium,Low
386,676,9,8,5,7,4,10,2,6,High,High,High,Medium,Medium,Low,High,Low,Medium
387,769,9,8,8,8,1,1,8,5,High,High,High,High,High,Low,Low,High,Medium
388,246,7,10,8,8,4,10,3,8,High,Medium,High,High,High,Low,High,Low,High
389,644,9,6,8,2,7,6,4,6,High,High,Medium,High,Low,Medium,Medium,Low,Medium
390,263,7,9,4,7,9,8,10,7,High,Medium,High,Low,Medium,High,High,High,Medium
391,476,9,4,6,4,8,6,4,10,High,High,Low,Medium,Low,High,Medium,Low,High
392,697,7,7,6,1,8,10,5,2,High,Medium,Medium,Medium,Low,High,High,Medium,Low
393,95,7,2,5,5,9,6,8,3,High,Medium,Low,Medium,Medium,High,Medium,High,Low
394,688,8,6,7,5,6,1,4,10,High,High,Medium,Medium,Medium,Medium,Low,Low,High
395,633,8,2,4,7,4,6,7,4,High,High,Low,Low,Medium,Low,Medium,Medium,Low
396,241,8,3,8,8,10,1,8,6,High,High,Low,High,High,High,Low,High,Medium
397,524,9,8,4,6,10,1,9,10,High,High,High,Low,Medium,High,Low,High,High
398,504,9,4,5,6,6,1,7,10,High,High,Low,Medium,Medium,Medium,Low,Medium,High
399,417,9,6,7,9,5,1,7,2,High,High,Medium,Medium,High,Medium,Low,Medium,Low
400,554,6,6,8,2,4,6,4,10,High,Medium,Medium,High,Low,Low,Medium,Low,High
401,656,6,2,7,2,5,6,9,9,High,Medium,Low,Medium,Low,Medium,Medium,High,High
402,19,10,4,6,3,9,10,9,3,High,High,Low,Medium,Low,High,High,High,Low
403,275,8,5,4,9,5,5,8,10,High,High,Medium,Low,High,Medium,Medium,High,High
404,478,5,10,7,6,8,7,3,9,High,Medium,High,Medium,Medium,High,Medium,Low,High
405,132,6,9,5,8,10,3,2,10,High,Medium,High,Medium,High,High,Low,Low,High
406,515,8,3,5,10,3,4,9,4,High,High,Low,Medium,High,Low,Low,High,Low
407,44,8,9,5,3,6,9,4,9,High,High,High,Medium,Low,Medium,High,Low,High
408,388,6,10,4,5,6,4,4,9,High,Medium,High,Low,Medium,Medium,Low,Low,High
409,204,8,7,6,3,3,10,3,6,High,High,Medium,Medium,Low,Low,High,Low,Medium
410,338,5,2,4,6,9,10,9,4,High,Medium,Low,Low,Medium,High,High,High,Low
411,619,8,7,6,4,3,9,3,8,High,High,Medium,Medium,Low,Low,High,Low,High
412,205,8,4,4,2,1,7,9,7,High,High,Low,Low,Low,Low,Medium,High,Medium
413,39,7,3,7,10,6,4,8,2,High,Medium,Low,Medium,High,Medium,Low,High,Low
414,53,5,8,5,1,10,8,5,7,High,Medium,High,Medium,Low,High,High,Medium,Medium
415,58,9,3,7,1,2,3,10,7,High,High,Low,Medium,Low,Low,Low,High,Medium
416,157,9,6,8,2,8,4,4,3,High,High,Medium,High,Low,High,Low,Low,Low
417,28,8,6,6,9,9,9,4,7,High,High,Medium,Medium,High,High,High,Low,Medium
418,833,8,6,7,7,7,9,10,9,High,High,Medium,Medium,Medium,Medium,High,High,High
419,252,8,9,4,6,10,2,7,5,High,High,High,Low,Medium,High,Low,Medium,Medium
420,658,8,5,6,7,10,4,6,4,High,High,Medium,Medium,Medium,High,Low,Medium,Low
421,179,6,3,7,6,2,6,5,2,High,Medium,Low,Medium,Medium,Low,Medium,Medium,Low
422,851,9,6,4,10,2,1,3,10,High,High,Medium,Low,High,Low,Low,Low,High
423,809,7,8,7,5,10,2,8,8,High,Medium,High,Medium,Medium,High,Low,High,High
424,330,7,7,5,7,9,10,2,2,High,Medium,Medium,Medium,Medium,High,High,Low,Low
425,94,10,10,4,7,8,2,4,4,High,High,High,Low,Medium,High,Low,Low,Low
426,826,10,5,7,2,8,7,10,5,High,High,Medium,Medium,Low,High,Medium,High,Medium
427,227,9,3,6,4,7,4,4,7,High,High,Low,Medium,Low,Medium,Low,Low,Medium
428,1000,9,8,5,4,10,7,7,10,High,High,High,Medium,Low,High,Medium,Medium,High
429,114,10,9,7,1,8,4,4,2,High,High,High,Medium,Low,High,Low,Low,Low
430,251,5,9,6,9,6,4,5,2,High,Medium,High,Medium,High,Medium,Low,Medium,Low
431,613,5,6,6,3,9,4,2,9,High,Medium,Medium,Medium,Low,High,Low,Low,High
432,101,10,5,6,6,9,8,10,3,High,High,Medium,Medium,Medium,High,High,High,Low
433,871,7,8,7,10,10,7,2,2,High,Medium,High,Medium,High,High,Medium,Low,Low
434,551,6,3,5,7,3,1,9,10,High,Medium,Low,Medium,Medium,Low,Low,High,High
435,931,6,5,7,3,6,5,6,10,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,High
436,49,8,7,8,8,1,1,8,3,High,High,Medium,High,High,Low,Low,High,Low
437,512,5,10,7,9,9,9,6,9,High,Medium,High,Medium,High,High,High,Medium,High
438,261,9,9,7,7,4,10,5,9,High,High,High,Medium,Medium,Low,High,Medium,High
439,754,6,9,4,4,3,10,2,10,High,Medium,High,Low,Low,Low,High,Low,High
440,345,8,2,8,9,10,10,9,5,High,High,Low,High,High,High,High,High,Medium
441,970,10,9,5,7,6,7,4,7,High,High,High,Medium,Medium,Medium,Medium,Low,Medium
442,990,6,9,6,4,9,5,10,8,High,Medium,High,Medium,Low,High,Medium,High,High
443,911,6,4,4,10,9,4,7,2,High,Medium,Low,Low,High,High,Low,Medium,Low
444,909,9,8,5,9,5,6,9,7,High,High,High,Medium,High,Medium,Medium,High,Medium
445,817,6,5,7,10,10,4,6,6,High,Medium,Medium,Medium,High,High,Low,Medium,Medium
446,733,10,10,5,1,4,1,3,4,High,High,High,Medium,Low,Low,Low,Low,Low
447,626,7,9,5,4,9,4,3,1,High,Medium,High,Medium,Low,High,Low,Low,Low
448,292,7,9,8,1,5,4,7,4,High,Medium,High,High,Low,Medium,Low,Medium,Low
449,82,5,10,8,4,4,10,5,5,High,Medium,High,High,Low,Low,High,Medium,Medium
450,355,10,8,5,6,5,10,1,8,High,High,High,Medium,Medium,Medium,High,Low,High
451,948,9,5,4,7,9,3,5,7,High,High,Medium,Low,Medium,High,Low,Medium,Medium
452,341,9,4,4,4,7,5,5,8,High,High,Low,Low,Low,Medium,Medium,Medium,High
453,952,7,9,5,7,8,8,10,5,High,Medium,High,Medium,Medium,High,High,High,Medium
454,711,7,3,4,6,3,7,6,4,High,Medium,Low,Low,Medium,Low,Medium,Medium,Low
455,635,7,3,8,6,7,4,10,5,High,Medium,Low,High,Medium,Medium,Low,High,Medium
456,850,5,8,7,4,8,7,8,6,High,Medium,High,Medium,Low,High,Medium,High,Medium
457,716,6,3,7,9,2,3,3,6,High,Medium,Low,Medium,High,Low,Low,Low,Medium
458,627,10,2,4,1,6,5,9,5,High,High,Low,Low,Low,Medium,Medium,High,Medium
459,661,6,10,4,3,8,2,7,6,High,Medium,High,Low,Low,High,Low,Medium,Medium
460,877,8,9,4,5,10,10,10,2,High,High,High,Low,Medium,High,High,High,Low
461,177,8,2,6,2,8,1,9,9,High,High,Low,Medium,Low,High,Low,High,High
462,322,8,10,7,3,3,3,1,5,High,High,High,Medium,Low,Low,Low,Low,Medium
463,914,9,2,4,2,4,2,2,9,High,High,Low,Low,Low,Low,Low,Low,High
464,486,10,9,5,1,4,10,6,9,High,High,High,Medium,Low,Low,High,Medium,High
465,723,6,10,5,3,10,3,6,4,High,Medium,High,Medium,Low,High,Low,Medium,Low
466,105,9,10,5,1,3,1,1,2,High,High,High,Medium,Low,Low,Low,Low,Low
467,52,6,10,4,1,7,3,10,2,High,Medium,High,Low,Low,Medium,Low,High,Low
468,436,9,9,4,10,1,10,10,2,High,High,High,Low,High,Low,High,High,Low
469,829,6,9,5,3,2,2,10,9,High,Medium,High,Medium,Low,Low,Low,High,High
470,753,5,10,8,7,5,10,9,7,High,Medium,High,High,Medium,Medium,High,High,Medium
471,130,7,9,5,9,3,2,5,4,High,Medium,High,Medium,High,Low,Low,Medium,Low
472,91,6,5,4,2,5,8,3,3,High,Medium,Medium,Low,Low,Medium,High,Low,Low
473,590,10,3,4,4,9,9,6,2,High,High,Low,Low,Low,High,High,Medium,Low
474,965,10,3,4,5,10,3,7,3,High,High,Low,Low,Medium,High,Low,Medium,Low
475,99,8,9,6,2,2,3,10,6,High,High,High,Medium,Low,Low,Low,High,Medium
476,912,7,10,7,10,2,7,5,7,High,Medium,High,Medium,High,Low,Medium,Medium,Medium
477,395,9,6,8,2,7,9,8,10,High,High,Medium,High,Low,Medium,High,High,High
478,923,6,3,5,6,9,4,10,3,High,Medium,Low,Medium,Medium,High,Low,High,Low
479,499,7,9,8,3,5,1,5,2,High,Medium,High,High,Low,Medium,Low,Medium,Low
480,115,5,5,7,1,3,8,1,10,High,Medium,Medium,Medium,Low,Low,High,Low,High
481,815,5,9,6,6,2,9,5,3,High,Medium,High,Medium,Medium,Low,High,Medium,Low
482,570,10,10,6,8,9,2,8,10,High,High,High,Medium,High,High,Low,High,High
483,825,9,7,8,1,3,2,9,3,High,High,Medium,High,Low,Low,Low,High,Low
484,620,9,5,8,2,8,10,8,8,High,High,Medium,High,Low,High,High,High,High
485,175,10,9,8,2,1,6,7,2,High,High,High,High,Low,Low,Medium,Medium,Low
486,358,5,7,4,3,3,10,3,4,High,Medium,Medium,Low,Low,Low,High,Low,Low
487,191,7,4,5,2,5,10,4,7,High,Medium,Low,Medium,Low,Medium,High,Low,Medium
488,492,6,5,8,10,3,8,3,2,High,Medium,Medium,High,High,Low,High,Low,Low
489,529,9,6,6,1,4,10,1,7,High,High,Medium,Medium,Low,Low,High,Low,Medium
490,389,5,5,8,6,2,3,5,7,High,Medium,Medium,High,Medium,Low,Low,Medium,Medium
491,878,6,5,8,4,10,3,9,10,High,Medium,Medium,High,Low,High,Low,High,High
492,368,7,9,8,3,2,7,4,1,High,Medium,High,High,Low,Low,Medium,Low,Low
493,122,7,5,5,3,9,6,9,2,High,Medium,Medium,Medium,Low,High,Medium,High,Low
494,332,9,2,7,2,8,7,4,10,High,High,Low,Medium,Low,High,Medium,Low,High
495,303,7,4,5,4,7,2,1,6,High,Medium,Low,Medium,Low,Medium,Low,Low,Medium
